Loan_ID,Applicant_Income,Loan_Amount,Loan_Term,Credit_History,Employment_Status,Loan_Status
138,18301,2375802,180,Good,Salaried,Rejected
139,148676,1954054,12,Good,Salaried,Approved
140,132849,2133028,24,Good,Self-employed,Approved
141,59517,1403380,240,Good,Salaried,Approved
142,47743,2035452,24,Average,Salaried,Rejected
143,89676,1842692,180,Poor,Salaried,Approved
144,55917,1708876,48,Poor,Salaried,Rejected
145,36300,1258665,120,Good,Self-employed,Approved
146,18672,1286312,60,Average,Salaried,Rejected
147,56953,1972955,240,Good,Salaried,Approved
148,116883,2009853,84,Poor,Unemployed,Rejected
149,118393,1079631,120,Good,Self-employed,Approved
150,119208,737975,180,Poor,Salaried,Approved
151,105030,520959,180,Good,Self-employed,Approved
152,55789,1819574,36,Good,Self-employed,Approved
153,106751,1767165,24,Poor,Self-employed,Rejected
154,117617,1428173,180,Poor,Salaried,Approved
155,79543,1305354,48,Average,Salaried,Approved
156,44347,1960922,36,Average,Self-employed,Rejected
157,103032,335381,60,Good,Salaried,Approved
158,126016,2473674,36,Good,Salaried,Approved
159,81132,2187367,36,Good,Self-employed,Approved
160,84932,139415,180,Poor,Self-employed,Approved
161,37362,1952748,84,Poor,Salaried,Rejected
162,83561,2016108,60,Good,Salaried,Approved
163,45958,1094912,120,Good,Salaried,Approved
164,23751,1760129,60,Good,Self-employed,Rejected
165,148214,1300385,48,Average,Salaried,Approved
166,83700,673693,24,Poor,Self-employed,Rejected
167,133559,239940,84,Average,Salaried,Approved
168,103647,1842746,36,Good,Self-employed,Approved
169,149542,1243062,36,Good,Self-employed,Approved
170,95369,1520674,24,Good,Salaried,Approved
171,122179,2437538,84,Good,Salaried,Approved
172,50398,2007510,84,Average,Self-employed,Rejected
173,117883,1658073,24,Average,Salaried,Approved
174,103984,1028481,24,Average,Salaried,Approved
175,125032,589374,36,Good,Salaried,Approved
176,48440,507652,48,Poor,Salaried,Rejected
177,115258,2365731,120,Average,Self-employed,Approved
178,43957,2152470,120,Poor,Salaried,Rejected
179,74955,1959683,180,Poor,Self-employed,Rejected
180,114294,2383655,84,Good,Salaried,Approved
181,137201,484506,48,Average,Salaried,Approved
182,31258,1498838,48,Poor,Self-employed,Rejected
183,35985,2424515,48,Average,Self-employed,Rejected
184,104129,718887,12,Good,Unemployed,Rejected
185,83707,831893,24,Average,Salaried,Rejected
186,111911,1097957,84,Good,Salaried,Approved
187,128352,2306562,24,Average,Salaried,Approved
188,46587,1995848,240,Good,Salaried,Approved
189,97070,2021169,12,Good,Salaried,Approved
190,129745,552824,180,Average,Salaried,Approved
191,102439,722157,24,Good,Self-employed,Approved
192,103245,1697628,240,Good,Salaried,Approved
193,43999,579887,240,Average,Salaried,Approved
194,77898,1835659,84,Average,Salaried,Approved
195,99932,1889977,84,Average,Salaried,Approved
196,142326,381577,24,Average,Salaried,Approved
197,115687,645743,240,Good,Unemployed,Approved
198,104414,612675,120,Good,Self-employed,Approved
199,31486,1306405,60,Good,Salaried,Rejected
200,58561,2122448,48,Average,Salaried,Approved
201,114353,581863,60,Good,Self-employed,Approved
202,24882,1221757,12,Good,Self-employed,Rejected
203,107082,1572298,12,Good,Salaried,Approved
204,36241,695065,12,Good,Salaried,Rejected
205,128056,2002728,84,Good,Salaried,Approved
206,40270,320657,36,Good,Salaried,Approved
207,89330,1958550,120,Good,Salaried,Approved
208,74510,2248936,24,Good,Salaried,Approved
209,145567,2310121,60,Good,Salaried,Approved
210,32360,132241,48,Good,Salaried,Approved
211,84982,1314029,84,Good,Salaried,Approved
212,64057,641844,120,Good,Salaried,Approved
213,110842,402306,120,Poor,Salaried,Approved
214,138521,426579,84,Good,Salaried,Approved
215,93894,583072,120,Good,Salaried,Approved
216,138611,1617720,24,Good,Salaried,Approved
217,122975,2297658,24,Good,Salaried,Approved
218,76083,1496991,36,Good,Self-employed,Approved
219,68830,1565386,84,Average,Self-employed,Approved
220,79936,531193,36,Good,Salaried,Approved
221,37753,843004,180,Good,Salaried,Approved
222,135677,2467650,84,Poor,Self-employed,Rejected
223,133281,386413,180,Good,Salaried,Approved
224,32725,1576152,240,Good,Salaried,Approved
225,32913,1646597,60,Good,Self-employed,Rejected
226,118789,2040753,240,Poor,Self-employed,Rejected
227,135894,2497701,48,Good,Salaried,Approved
228,34219,1989630,24,Average,Self-employed,Rejected
229,63235,264173,48,Average,Unemployed,Approved
230,59614,1626298,84,Poor,Salaried,Rejected
231,31727,1503621,24,Good,Salaried,Rejected
232,92487,1156946,36,Good,Salaried,Approved
233,109703,1401206,120,Good,Self-employed,Approved
234,99155,2444289,120,Average,Salaried,Approved
235,42498,1875895,240,Good,Salaried,Approved
236,74149,1533329,180,Good,Unemployed,Approved
237,38228,1340641,24,Good,Salaried,Rejected
238,27895,1512492,36,Average,Salaried,Rejected
239,61395,1935735,12,Good,Self-employed,Approved
240,134444,1295074,180,Good,Salaried,Approved
241,68860,1642836,180,Good,Salaried,Approved
242,149833,2312326,120,Poor,Self-employed,Approved
243,54280,1148589,12,Average,Self-employed,Rejected
244,44893,2263880,24,Good,Self-employed,Rejected
245,135786,2253157,36,Average,Salaried,Approved
246,136260,1566266,12,Good,Salaried,Approved
247,79807,1719698,24,Good,Salaried,Approved
248,105894,712575,36,Good,Self-employed,Approved
249,54383,2067590,180,Average,Self-employed,Approved
250,85088,1004521,36,Good,Self-employed,Approved
251,128953,566351,60,Good,Salaried,Approved
252,128054,2017273,24,Good,Self-employed,Approved
253,22308,2261642,48,Average,Salaried,Rejected
254,110488,1108999,120,Good,Self-employed,Approved
255,112530,383867,240,Good,Self-employed,Approved
256,23330,1737681,180,Good,Salaried,Rejected
257,84492,168124,84,Average,Salaried,Approved
258,105167,659560,12,Good,Salaried,Approved
259,139798,2107105,36,Average,Salaried,Approved
260,27695,1330787,48,Good,Salaried,Rejected
261,100731,1400552,240,Good,Self-employed,Approved
262,84404,253598,48,Good,Self-employed,Approved
263,105012,1245953,24,Average,Salaried,Approved
264,133274,1721705,84,Poor,Salaried,Approved
265,114297,2278000,60,Average,Self-employed,Approved
266,130881,856889,240,Good,Salaried,Approved
267,95500,1385536,180,Average,Salaried,Approved
268,110155,1975397,12,Average,Self-employed,Approved
269,132017,1251568,12,Good,Self-employed,Approved
270,59939,230613,36,Average,Self-employed,Approved
271,27122,629447,24,Good,Self-employed,Rejected
272,118362,2479196,12,Average,Self-employed,Rejected
273,115521,1962016,24,Good,Salaried,Approved
274,100414,1268909,48,Poor,Salaried,Rejected
275,148821,2271581,120,Poor,Salaried,Approved
276,134987,999973,60,Average,Unemployed,Approved
277,50148,669286,24,Good,Self-employed,Approved
278,41013,1440448,84,Average,Salaried,Rejected
279,96631,760624,36,Average,Salaried,Approved
280,70685,682491,48,Average,Salaried,Approved
281,114707,2060442,240,Good,Self-employed,Approved
282,99078,1770003,180,Good,Self-employed,Approved
283,37333,625658,84,Average,Salaried,Approved
284,108312,638274,240,Average,Salaried,Approved
285,131408,2209163,12,Average,Salaried,Approved
286,61163,779338,84,Poor,Salaried,Approved
287,92461,430762,60,Good,Unemployed,Approved
288,50812,1370138,240,Good,Self-employed,Approved
289,58421,818067,84,Average,Salaried,Approved
290,39292,290680,60,Average,Self-employed,Approved
291,25939,2188923,240,Good,Unemployed,Rejected
292,82193,1803275,60,Good,Self-employed,Approved
293,133239,1843243,180,Good,Salaried,Approved
294,99941,1439310,84,Poor,Salaried,Approved
295,45835,1438469,48,Good,Salaried,Approved
296,54930,506057,12,Good,Salaried,Approved
297,127611,1141321,36,Average,Unemployed,Rejected
298,67763,768330,180,Poor,Salaried,Approved
299,148382,197208,24,Poor,Salaried,Approved
300,74398,1580149,12,Good,Salaried,Approved
301,92907,2351044,12,Average,Salaried,Approved
302,113886,1791370,84,Good,Salaried,Approved
303,69027,1620534,240,Good,Salaried,Approved
304,91327,598329,36,Poor,Salaried,Approved
305,113841,705101,48,Average,Salaried,Approved
306,29876,263217,36,Average,Self-employed,Rejected
307,137796,724702,240,Good,Unemployed,Approved
308,60598,1748170,60,Average,Salaried,Approved
309,146410,2461075,60,Good,Salaried,Approved
310,46732,1847096,60,Average,Self-employed,Rejected
311,142410,1213715,48,Average,Salaried,Approved
312,117664,719816,48,Good,Unemployed,Approved
313,68012,179429,180,Good,Salaried,Approved
314,125577,2204783,180,Poor,Self-employed,Rejected
315,54197,2275515,48,Good,Unemployed,Rejected
316,116782,1415973,36,Good,Salaried,Approved
317,110874,1208815,180,Good,Salaried,Approved
318,96249,1043160,60,Average,Self-employed,Approved
319,101110,2112441,84,Good,Unemployed,Approved
320,93442,611177,240,Good,Unemployed,Approved
321,56397,1318246,12,Good,Self-employed,Approved
322,133966,1175603,180,Good,Self-employed,Approved
323,89203,675764,24,Average,Salaried,Approved
324,31307,2327349,48,Average,Salaried,Rejected
325,104584,2081405,24,Average,Salaried,Approved
326,59403,1806693,180,Good,Salaried,Approved
327,102192,1297118,12,Poor,Salaried,Rejected
328,78875,2344591,12,Poor,Salaried,Rejected
329,27526,1765115,180,Good,Self-employed,Rejected
330,27821,138869,60,Good,Salaried,Approved
331,92596,2005678,240,Good,Self-employed,Approved
332,140688,1244361,48,Average,Salaried,Approved
333,85440,880975,12,Average,Self-employed,Approved
334,68636,836079,120,Average,Salaried,Approved
335,123076,500074,36,Poor,Salaried,Approved
336,19790,1193812,120,Good,Self-employed,Rejected
337,97153,147964,60,Average,Self-employed,Approved
338,48991,2052008,60,Good,Self-employed,Approved
339,48779,1337477,84,Average,Salaried,Approved
340,143352,742506,180,Average,Salaried,Approved
341,141424,2354512,48,Average,Self-employed,Approved
342,39461,2304134,180,Good,Salaried,Approved
343,47414,359032,240,Poor,Salaried,Approved
344,57282,790118,84,Poor,Salaried,Approved
345,146143,481436,240,Good,Salaried,Approved
346,126901,2015951,12,Good,Self-employed,Approved
347,23706,1760729,60,Average,Self-employed,Rejected
348,37144,289959,120,Good,Salaried,Approved
349,36092,2080010,12,Good,Salaried,Rejected
350,128195,1670602,120,Good,Self-employed,Approved
351,116473,436592,240,Good,Self-employed,Approved
352,64785,2353425,120,Good,Self-employed,Approved
353,18910,195358,60,Good,Self-employed,Approved
354,117425,1063280,48,Good,Salaried,Approved
355,47581,235129,120,Average,Unemployed,Rejected
356,81089,964368,24,Good,Salaried,Approved
357,30760,1126489,12,Good,Salaried,Rejected
358,32796,687771,240,Poor,Salaried,Rejected
359,101598,1444966,48,Good,Salaried,Approved
360,75945,1834597,60,Good,Salaried,Approved
361,63910,1891809,240,Good,Unemployed,Approved
362,101554,1846192,120,Good,Salaried,Approved
363,142130,1110693,48,Good,Self-employed,Approved
364,33105,2458817,120,Poor,Salaried,Rejected
365,119821,1118622,60,Good,Self-employed,Approved
366,115275,487822,240,Average,Salaried,Approved
367,116872,265874,24,Good,Self-employed,Approved
368,74889,2110725,48,Poor,Salaried,Rejected
369,73524,897017,24,Average,Self-employed,Rejected
370,71611,1763595,48,Good,Self-employed,Approved
371,140224,2338290,84,Good,Salaried,Approved
372,140160,513592,180,Average,Salaried,Approved
373,115178,1412490,120,Good,Self-employed,Approved
374,22251,1193765,240,Poor,Salaried,Rejected
375,95382,739259,48,Good,Salaried,Approved
376,148888,2409562,84,Good,Self-employed,Approved
377,138803,805623,84,Good,Self-employed,Approved
378,66247,2373886,12,Good,Self-employed,Rejected
379,30717,126775,120,Good,Self-employed,Approved
380,57591,138342,48,Good,Salaried,Approved
381,144669,2146209,12,Good,Salaried,Approved
382,22384,2320538,60,Good,Salaried,Rejected
383,130872,851899,24,Poor,Salaried,Rejected
384,68313,2308116,60,Average,Salaried,Rejected
385,38714,1664691,120,Good,Salaried,Rejected
386,96636,438131,12,Good,Salaried,Approved
387,142781,335363,12,Average,Salaried,Approved
388,104840,2473374,24,Poor,Self-employed,Rejected
389,73421,2477265,180,Good,Self-employed,Approved
390,26625,852267,84,Good,Salaried,Rejected
391,122410,422699,60,Good,Salaried,Approved
392,104960,1709967,36,Average,Self-employed,Rejected
393,149279,1550639,12,Good,Salaried,Approved
394,107284,1763893,84,Good,Salaried,Approved
395,146608,1056881,84,Good,Salaried,Approved
396,117633,459427,60,Average,Self-employed,Approved
397,88247,746849,120,Average,Self-employed,Approved
398,101015,1612886,24,Good,Unemployed,Rejected
399,112350,1231482,24,Good,Salaried,Approved
400,124966,533241,12,Good,Salaried,Approved
401,103047,1715804,12,Good,Salaried,Approved
402,81633,2498975,240,Good,Salaried,Approved
403,88495,1363036,60,Good,Salaried,Approved
404,90341,1866231,60,Good,Salaried,Approved
405,82642,2179546,48,Good,Salaried,Approved
406,121728,1493419,120,Average,Salaried,Approved
407,130883,670947,60,Good,Unemployed,Approved
408,143569,1417780,36,Poor,Unemployed,Rejected
409,146714,1116801,84,Good,Self-employed,Approved
410,113686,577680,48,Average,Salaried,Approved
411,25055,2036183,48,Good,Salaried,Rejected
412,125254,2194229,36,Average,Salaried,Approved
413,128920,1681214,24,Good,Salaried,Approved
414,123068,2341299,240,Poor,Self-employed,Approved
415,27637,1607975,240,Average,Self-employed,Rejected
416,83072,1589014,36,Average,Salaried,Approved
417,104926,1905461,24,Good,Salaried,Approved
418,75942,1969730,84,Good,Self-employed,Approved
419,149194,732270,84,Poor,Salaried,Approved
420,127045,460101,24,Average,Self-employed,Approved
421,99760,1538925,180,Average,Salaried,Approved
422,142823,509460,180,Average,Salaried,Approved
423,96712,287414,24,Good,Salaried,Approved
424,61084,1123045,240,Good,Salaried,Approved
425,129770,2037995,48,Average,Self-employed,Approved
426,131281,1759192,12,Average,Self-employed,Rejected
427,130604,1730895,12,Average,Salaried,Rejected
428,44673,2351875,36,Good,Salaried,Rejected
429,86774,2153044,240,Poor,Salaried,Approved
430,120903,579124,84,Good,Salaried,Approved
431,95973,455475,36,Good,Salaried,Approved
432,65984,1665759,36,Good,Salaried,Approved
433,118587,1874353,36,Good,Salaried,Approved
434,61742,2153707,60,Good,Salaried,Approved
435,32053,1605919,12,Good,Salaried,Rejected
436,147753,1816033,180,Good,Self-employed,Approved
437,61844,446745,12,Average,Salaried,Rejected
438,90051,1043061,240,Good,Self-employed,Approved
439,147843,2405718,240,Good,Salaried,Approved
440,114170,2373494,12,Average,Salaried,Approved
441,129451,529565,48,Good,Unemployed,Approved
442,86895,1562037,24,Good,Unemployed,Rejected
443,73018,1570652,120,Good,Salaried,Approved
444,72248,348964,84,Good,Salaried,Approved
445,102843,1327398,60,Good,Unemployed,Approved
446,42962,668701,120,Poor,Unemployed,Rejected
447,52784,1147222,36,Average,Self-employed,Rejected
448,146308,696311,60,Average,Salaried,Approved
449,42404,1789678,240,Average,Self-employed,Approved
450,137195,2147006,84,Average,Self-employed,Approved
451,138179,1602495,24,Average,Salaried,Approved
452,73535,2174984,60,Good,Salaried,Approved
453,52234,2474572,180,Average,Self-employed,Approved
454,30043,517646,180,Good,Self-employed,Approved
455,133680,2014775,12,Poor,Salaried,Rejected
456,97132,766799,60,Good,Salaried,Approved
457,115476,794262,12,Good,Salaried,Approved
458,130520,482517,24,Good,Salaried,Approved
459,77294,2278707,180,Good,Self-employed,Approved
460,128707,654382,180,Good,Salaried,Approved
461,45053,1414291,84,Poor,Salaried,Rejected
462,55448,386939,240,Good,Salaried,Approved
463,133369,1572988,48,Average,Salaried,Approved
464,133968,1011190,24,Poor,Salaried,Rejected
465,118671,1574447,120,Good,Salaried,Approved
466,40085,1140887,240,Average,Self-employed,Approved
467,25031,1365209,48,Good,Salaried,Rejected
468,95474,328879,48,Good,Salaried,Approved
469,36615,2315794,12,Poor,Unemployed,Rejected
470,119407,2483960,120,Good,Self-employed,Approved
471,37134,170000,24,Good,Salaried,Approved
472,122326,2224878,60,Average,Salaried,Approved
473,129037,1787273,24,Average,Salaried,Approved
474,90736,450631,60,Good,Self-employed,Approved
475,103655,1738846,24,Good,Salaried,Approved
476,33179,1125422,24,Poor,Salaried,Rejected
477,32425,1397256,36,Good,Self-employed,Rejected
478,60947,2182106,84,Good,Self-employed,Approved
479,61768,1659733,36,Average,Self-employed,Rejected
480,25695,1505138,120,Good,Salaried,Rejected
481,38203,2180993,180,Good,Salaried,Approved
482,61746,1642194,36,Good,Salaried,Approved
483,48234,1057997,240,Good,Self-employed,Approved
484,82107,292860,180,Good,Self-employed,Approved
485,27270,2418882,120,Good,Salaried,Rejected
486,89108,426682,84,Good,Self-employed,Approved
487,65014,1036105,240,Poor,Unemployed,Rejected
488,139921,1284080,60,Good,Salaried,Approved
489,114709,941675,60,Good,Salaried,Approved
490,81591,2045849,84,Average,Salaried,Approved
491,82258,731521,12,Poor,Salaried,Rejected
492,108812,140243,84,Good,Self-employed,Approved
493,45249,960647,240,Poor,Salaried,Rejected
494,55322,1273672,24,Good,Salaried,Approved
495,126280,1662344,180,Poor,Salaried,Approved
496,52999,1754029,24,Average,Salaried,Rejected
497,80068,1323377,60,Poor,Self-employed,Rejected
498,103524,1434030,180,Good,Salaried,Approved
499,53680,557065,36,Good,Salaried,Approved
500,124564,606406,240,Good,Self-employed,Approved
501,98821,2043416,60,Poor,Salaried,Rejected
502,28572,1001862,84,Good,Self-employed,Rejected
503,121873,2253605,12,Average,Salaried,Approved
504,26147,1796143,180,Good,Salaried,Rejected
505,139121,527430,36,Good,Salaried,Approved
506,52266,931030,120,Good,Self-employed,Approved
507,85848,414519,12,Poor,Salaried,Rejected
508,51761,485786,84,Good,Unemployed,Approved
509,62037,1916789,120,Good,Salaried,Approved
510,63300,1584545,48,Poor,Salaried,Rejected
511,56962,245330,48,Average,Salaried,Approved
512,143575,355764,24,Good,Salaried,Approved
513,83312,2380261,12,Poor,Self-employed,Rejected
514,143746,2383873,180,Good,Salaried,Approved
515,119811,1234289,36,Good,Salaried,Approved
516,91644,345749,180,Good,Self-employed,Approved
517,59844,519993,48,Average,Salaried,Approved
518,75517,1729162,84,Poor,Unemployed,Rejected
519,64163,1092167,84,Average,Self-employed,Approved
520,25394,1575061,36,Good,Salaried,Rejected
521,99016,836338,180,Good,Salaried,Approved
522,75359,183584,240,Good,Salaried,Approved
523,70812,647312,84,Average,Self-employed,Approved
524,33612,191909,36,Average,Self-employed,Rejected
525,113653,404219,84,Average,Self-employed,Approved
526,44484,1511639,60,Good,Unemployed,Rejected
527,145716,1430783,36,Average,Salaried,Approved
528,111539,1036324,36,Good,Self-employed,Approved
529,51383,845362,12,Poor,Unemployed,Rejected
530,26488,863706,84,Poor,Unemployed,Rejected
531,45291,2181150,36,Good,Salaried,Approved
532,101759,804170,24,Average,Self-employed,Approved
533,135081,147796,60,Good,Self-employed,Approved
534,85281,553129,12,Good,Salaried,Approved
535,61604,1836522,180,Poor,Salaried,Approved
536,44588,2111123,48,Good,Salaried,Rejected
537,95308,184213,84,Good,Salaried,Approved
538,62592,1674784,36,Average,Salaried,Rejected
539,106591,2124744,12,Good,Self-employed,Approved
540,131823,758941,12,Good,Salaried,Approved
541,125290,2424115,240,Good,Salaried,Approved
542,43143,308186,120,Good,Self-employed,Approved
543,32288,1613426,12,Good,Salaried,Rejected
544,143915,937496,24,Good,Salaried,Approved
545,39479,2086299,24,Good,Salaried,Rejected
546,87469,482255,240,Good,Salaried,Approved
547,114836,882585,180,Good,Salaried,Approved
548,77308,1226430,12,Good,Self-employed,Approved
549,40467,1541965,240,Good,Self-employed,Approved
550,33986,1723640,240,Good,Salaried,Approved
551,79772,2097588,60,Good,Self-employed,Approved
552,149622,2495870,240,Average,Self-employed,Approved
553,56652,604498,180,Good,Unemployed,Approved
554,68521,629262,12,Good,Unemployed,Rejected
555,70931,720246,60,Good,Self-employed,Approved
556,40813,1727805,240,Good,Salaried,Approved
557,138103,151857,240,Average,Salaried,Approved
558,56849,2476467,24,Poor,Salaried,Rejected
559,92997,2346609,84,Poor,Salaried,Rejected
560,142006,257142,36,Good,Salaried,Approved
561,123308,262665,120,Poor,Salaried,Approved
562,30921,2093209,60,Poor,Salaried,Rejected
563,99513,1275859,180,Poor,Self-employed,Approved
564,53228,1360306,180,Average,Salaried,Approved
565,41406,888259,180,Good,Self-employed,Approved
566,116018,335744,240,Average,Salaried,Approved
567,123744,668956,240,Poor,Salaried,Approved
568,70619,341707,48,Good,Salaried,Approved
569,70195,1249144,84,Average,Salaried,Approved
570,26011,1114761,84,Good,Salaried,Rejected
571,109687,1543884,36,Average,Salaried,Rejected
572,92729,215135,120,Good,Self-employed,Approved
573,76025,1044188,48,Good,Salaried,Approved
574,20332,2088507,36,Average,Salaried,Rejected
575,76659,1158602,60,Average,Self-employed,Approved
576,129098,1679052,84,Good,Salaried,Approved
577,122111,529128,12,Good,Self-employed,Approved
578,92102,1351898,24,Good,Salaried,Approved
579,103232,1261339,60,Average,Unemployed,Rejected
580,67377,728849,240,Average,Self-employed,Approved
581,123931,1440439,36,Average,Self-employed,Approved
582,86007,1855591,120,Good,Salaried,Approved
583,67785,1539346,48,Average,Self-employed,Rejected
584,111977,2227832,60,Average,Self-employed,Approved
585,65483,1332219,24,Good,Self-employed,Approved
586,65990,1507744,24,Good,Salaried,Approved
587,128224,1489644,84,Good,Salaried,Approved
588,141348,325137,24,Good,Salaried,Approved
589,118052,2322303,60,Good,Self-employed,Approved
590,54009,940104,84,Good,Salaried,Approved
591,55545,1427008,36,Average,Salaried,Rejected
592,100159,343326,12,Good,Salaried,Approved
